"","category","name","reviewer","reviews","verified","date.of.review","ratings"
"1","Electronics","Lenovo Ideapad 3 Slim Laptop | 14 Inch Full HD WideView Display Anti-Glare | AMD Ryzen 5 5500U | 8GB RAM | 512GB SSD | AMD Radeon Graphics | Windows 11 Home | Grey","Panzerschrank9","Der Laptop funktioniert arbeitet für meine Zwecke mehr als zufriedenstellend. Nutze den Laptop in folgenden Situationen: Microsoft Office 365, Online Meetings, aufwändige Online-Recherchen, einige spezielle Programme (seltener).Der Laptop kam betriebsbereit. Einzig das Betriebssystem musste mithilfe des Assistenten eingestellt werden (Konto etc.). Alles lief bestens ab.Der Fingerabdrucksensor funktioniert problemlos und fehlerfrei.Die Tastatur war für mich anfangs gewöhnungsbedürftig, weil ich für eine sehr lange Zeit ein anderes Fabrikat verwendet habe. Mittlerweile ist das kein Thema mehr.Das Display ist ganz gut, aus jedem Blickwinkel ausreichend sichtbar - sitze allerdings immer vor dem Laptop und brauche auch die seitliche Anzeigequalität gar nicht.Merke nicht, dass sich der Laptop aufwärmt (bei Ausführung der oben erwähnten Tätigkeiten).Würde ich weiterempfehlen.","Verified Purchase","Reviewed in Germany on 23 January 2023","4.3 out of 5 stars"
"2","Electronics","Lenovo Ideapad 3 Slim Laptop | 14 Inch Full HD WideView Display Anti-Glare | AMD Ryzen 5 5500U | 8GB RAM | 512GB SSD | AMD Radeon Graphics | Windows 11 Home | Grey","TJ","Ich wollte einen mobilen Laptop, den ich mehrere Jahre benutzen kann und von Ort zu Ort tragen kann. Mit seiner geringen Größe klappt das, und gleichzeitig hat er auch noch eine gute CPU, die bisher noch immer flott läuft. Ich kann dieses Gerät absolut empfehlen!","Verified Purchase","Reviewed in Germany on 3 March 2023","5.0 out of 5 stars"
"3","Electronics","Lenovo Ideapad 3 Slim Laptop | 14 Inch Full HD WideView Display Anti-Glare | AMD Ryzen 5 5500U | 8GB RAM | 512GB SSD | AMD Radeon Graphics | Windows 11 Home | Grey","Carolin Ehlen","Der Laptop stürzt ab wenn man mehr als 5 Anwendungen offen hat oder kleine Spiel mit 60 fps launcht, bzw. für etwas längere Zeit Spielt. Auch der Akku hält nur für 2 Stunden.","Verified Purchase","Reviewed in Germany on 4 February 2024","5.0 out of 5 stars"
"4","Electronics","Lenovo Ideapad 3 Slim Laptop | 14 Inch Full HD WideView Display Anti-Glare | AMD Ryzen 5 5500U | 8GB RAM | 512GB SSD | AMD Radeon Graphics | Windows 11 Home | Grey","Amazon Kunde","Kurz zu den Bewertungen: Kamera lässt sich nicht einschalten ohne Fachwissen, Gaming mache ich nicht und Touchscreen hat das Gerät nicht. Der Grund für meine Bewertung hängt mit Lenovo und Microsoft zusammen. Lenovo liefert den Laptop aus mit WIndows 11, darauf ist Bitlocker aktiviert aber es gibt kein Passwort dazu. D.h. irgendwann macht der Laptop zu und Du kommst nicht mehr an deine Daten. Lenovo verweist jetzt an Microsoft und Microsoft sagt ohne Code sind die Daten verloren. Amazon und Lenovo sind nicht zuständig und Microsoft sagt ohne Schlüssel sind die Daten verloren. Ich stelle das nach 6 Wochen fest, Du kannst das aber auch erst nach drei Jahren feststellen. Kein Support mehr aber eine eingebaute Falle.","Verified Purchase","Reviewed in Germany on 4 January 2023","2.0 out of 5 stars"
"5","Electronics","Lenovo Ideapad 3 Slim Laptop | 14 Inch Full HD WideView Display Anti-Glare | AMD Ryzen 5 5500U | 8GB RAM | 512GB SSD | AMD Radeon Graphics | Windows 11 Home | Grey","Bjoern Fieweger","Habe ihn meiner Freundin geschenkt, für kreative Arbeiten. Also kleine Videos schneiden, 3D-Modelle für den Drucker slicen, usw...Sie ist super zufrieden damit. Preis-Leistung habe ich stark recherchiert und war alles top und meine Freundin ist auch top zufrieden! :)Warum nur 3 Sterne? Der Laptop ist nicht kompatibel mit normalen Dockingstations... Da wurden echt wenige Euro gespart, sodass der USB-C-Anschluss wirklich kein Video-Signal übertragen kann. Das ist mehr als absurd und hatte/n nicht damit gerechnet, dass man auf sowas achten muss...Laptop wird behalten, weil sonst alles tutti ist und meine Freundin den Laptop wenig mobil nutzt und der Kabelsalat ""ok"" ist, aber war eine sehr, sehr große Enttäuschung!FYI: Es gibt eine Dockingstation von Lenovo, die wohl klappt. Aber sehr teuer und ist halt dann echt für so einen speziellen Use case... ^^ Also irgendwie keine sinnvolle Option.","Verified Purchase","Reviewed in Germany on 26 February 2023","1.0 out of 5 stars"
"6","Electronics","Lenovo Ideapad 3 Slim Laptop | 14 Inch Full HD WideView Display Anti-Glare | AMD Ryzen 5 5500U | 8GB RAM | 512GB SSD | AMD Radeon Graphics | Windows 11 Home | Grey","Sergej","guter laptop zu einem guten preis","Verified Purchase","Reviewed in Germany on 19 November 2022","3.0 out of 5 stars"
"7","Electronics","Lenovo Ideapad 3 Slim Laptop | 14 Inch Full HD WideView Display Anti-Glare | AMD Ryzen 5 5500U | 8GB RAM | 512GB SSD | AMD Radeon Graphics | Windows 11 Home | Grey","Laura","Leider hatte ich seit Anfang an Probleme mit dem Laptop. Er ließ sich nicht mit dem WLAN verbinden und zeigte mir auch keine Auswahlmöglichkeiten an. Nur bei Neustart verbindete er sich (manchmal). Ich habe viel Zeit investiert; habe telefonisch mit einem Lenovo Mitarbeiter fast 2h versucht das Problem von zu Hause zu lösen - ohne Erfolg. Als ich ihn zur Reperatur einschicken ließ wurde das Mainboard ausgetauscht - vermutlich weil es auch Probleme mit dem Anschalten gab. Nach langem Warten hab ich den Laptop wieder und das WLAN Problem besteht weiterhin!","Verified Purchase","Reviewed in Germany on 27 February 2023","5.0 out of 5 stars"
"8","Electronics","Lenovo Ideapad 3 Slim Laptop | 14 Inch Full HD WideView Display Anti-Glare | AMD Ryzen 5 5500U | 8GB RAM | 512GB SSD | AMD Radeon Graphics | Windows 11 Home | Grey","Md. Shaheen Alam","Sound quality is too poor and processor is slow.. others all okay!","Verified Purchase","Reviewed in Germany on 10 December 2022","2.0 out of 5 stars"
"9","Electronics","Lenovo Ideapad 3 Slim Laptop | 14 Inch Full HD WideView Display Anti-Glare | AMD Ryzen 5 5500U | 8GB RAM | 512GB SSD | AMD Radeon Graphics | Windows 11 Home | Grey","Roman Zimmer","Ich habe mir diesen Laptop für mein Informatik Studium gekauft und habe ihn aktiv in Vorlesungen, Übungen und Pausen verwendet für alles was das Studentenherz begehrt. Mails checken, an Zoom Meetings teilnehmen, mit Kommilitonen sich auszutauschen und natürlich auch zum Programmieren.Vorab, ich habe für den Laptop um die 470€ mit Versand und MwSt ~500€ ausgegeben und mit ein Paar Euro mehr hätte man einen qualitativeren Laptop kaufen können.Der Laptop (je nach Ausführung) kommt mit 8GB RAM und einem I3-1115G4. Zwar reicht der i3 völlig aus für simples Programmieren mit Python,Java, C und co. bei komplexen Simulationen würde es aber aufhören. Alleine schon beim programmieren kommt er auf seine Grenzen. Mit IntelliJ (die IDE meines Vertrauens) und den Plugins komme ich bei einer RAM Auslastung von 60-70% und erreiche Düsenjet Level an Lautstärke. Es hindert wirklich den Workflow, vor allem wenn man parallel noch was offen hat wird der Laptop super langsam. Dazu ist er auch relativ hoch und das Display ist matt. Heißt in der Sonne werdet ihr Probleme haben was zu erkennen.Der Akku ist ein anderes Thema, beim normalen Arbeiten (Programmieren + Vorlesungsfolien/PDFs offen haben) kommt er auf 2 Stunden Laufzeit und muss aufgeladen werden. Sehr enttäuschend.Also bitte, macht nicht den selben Fehler wie ich und kauft euch NICHT diesen Laptop! Es sei denn ihr könnt das alles in Kauf nehmen und der Laptop ist der ""beste"" in seiner Kategorie, aber für mehr als 380€ würde ich diesen Laptop auch nicht kaufen.","Verified Purchase","Reviewed in Germany on 21 July 2022","3.0 out of 5 stars"
"10","Electronics","Lenovo Ideapad 3 Slim Laptop | 14 Inch Full HD WideView Display Anti-Glare | AMD Ryzen 5 5500U | 8GB RAM | 512GB SSD | AMD Radeon Graphics | Windows 11 Home | Grey","Arne","Exakt einen Monat nach Ablauf der 24-monatiger Herstellergarantie defekt. Ploetzlich rattert es im Gehaeuse und der Laptop laesst sich nicht mehr ausschalten.Davor, gute Performance.","Verified Purchase","Reviewed in Germany on 15 February 2024","3.0 out of 5 stars"
"11","Electronics","Lenovo Ideapad 3 Slim Laptop | 14 Inch Full HD WideView Display Anti-Glare | AMD Ryzen 5 5500U | 8GB RAM | 512GB SSD | AMD Radeon Graphics | Windows 11 Home | Grey","Michael H.","Der Laptop ist sehr schnell und eignet sich als Uni-Rechner in meinem Fall sehr gut. Ich wäre mit dem Produkt absolut zufrieden, wenn nicht die minderwertige Qualität wäre! Innerhalb der 2 Jahren Garantie hatte ich nach 18 Monaten bereits zwei Totalschaden des Geräts. Trotz vorsichtigen Umgang. Die Garantiefälle wurden ohne Probleme  gelöst, dennoch erwarte ich mir in dieser Preisklasse einen problemlosen Umgang ohne ständige Ausfälle und Reparaturen im ersten Jahr.Ich rate von einem Kauf deshalb ab.","Verified Purchase","Reviewed in Germany on 25 July 2023","4.3 out of 5 stars"
"12","Electronics","Lenovo Ideapad 3 Slim Laptop | 14 Inch Full HD WideView Display Anti-Glare | AMD Ryzen 5 5500U | 8GB RAM | 512GB SSD | AMD Radeon Graphics | Windows 11 Home | Grey","Amca","Ich habe diesen laptop gekauft da es nicht so viel kostet, habe kein Geld für ein neues. Lenovo gibt mir keine Möglichkeit es noch umzutauschen oder mein Geld zurück zu bekommen. Wenn ich gewusst hätte, dass es so läuft, hätte ich es nie gekauft. Nie wieder von Lenovo!UPDATE: Ich hasse dieses Laptop und auch Lenovo Support!! Der Laptop lässt es seit Anfang an nicht zu, einige Websites zu besuchen. Einfach nur so, normale Webseits kann man nicht öffnen, weil man dann plötzlich auf der Google Homepage ist. Jetzt geht der Spaß aber wirklich los, auch werden Websites auf deren man zugreifen kann nicht korrekt angezeigt, man kann die Sites gar nicht benutzen, alles ist ein Chaos. Ab und zu ist man an WLAN verbunden, WLAN funktioniert auf alle andere Geräte, aber auf dem Laptop geht es einfach nicht, bis man ein restart macht. Er funktioniert sehr langsam.Lenovo support: Wegen schlechte Akku und sehr sehr sehr heißer Laptop angerufen, nach 3h am Telefon-> ok für 3 Tage und dann wieder schlechtAm Anfang war der Laptop sehr gut, schnell, alles ok. ( akku war nur 4h aber egal). Nach einige Monate wird es jetzt so heiß dass, meine Finger bei Tippen verbrennen. 10 % akku verliert man in 5 minute. Muss ständing eingesteckt sein und brennt deshalb. Cursor blockiert sich usw.","Verified Purchase","Reviewed in Germany on 5 June 2022","2.0 out of 5 stars"
"13","Electronics","Lenovo Ideapad 3 Slim Laptop | 14 Inch Full HD WideView Display Anti-Glare | AMD Ryzen 5 5500U | 8GB RAM | 512GB SSD | AMD Radeon Graphics | Windows 11 Home | Grey","Karsten","Das Notebook macht einen hochwertigen Eindruck trotz Kunststoff und verzieht sich nicht. Er ist sehr leicht und damit angenehm zu nutzen und transportieren.In Geschwindigkeit und Ausstattung zündet das Gerät kein Feuerwerk, aber das ist auch nicht zu erwarten bei den Werten. Preis/Leistung absolut in Ordnung und für den Hausgebrauch ausreichend!Windows 11 Upgrade läuft problemlos","Verified Purchase","Reviewed in Germany on 7 January 2022","1.0 out of 5 stars"
"14","Electronics","Lenovo Ideapad 3 Slim Laptop | 14 Inch Full HD WideView Display Anti-Glare | AMD Ryzen 5 5500U | 8GB RAM | 512GB SSD | AMD Radeon Graphics | Windows 11 Home | Grey","TOBIAS KNAPP","Ich habe dieses Notebook für meinen Sohn bestellt der jetzt sein Fachabi macht.Nachdem ich mehrere günstige Geräte getestet habe die zwar mehr Leistungsmerkmale aufzeigen ( größerer Arbeitsspeicher, größere Festplatte und eine angeblich ultra lange Akkulaufzeit) ist mir aufgefallen das der Prozessor bei jedem schon beim öffnen von zwei Taps überfordert war und voll ausgelastet.Anders bei diesem.Der Prozessor holt alles raus was die anderen nicht hinbekommen haben.Die Grafik ist klasse und der Akku hält den ganzen Schultag locker durch.Kann das Gerät nur weiterempfehlen.Die Kamera ist vollkommen in Ordnung und es ist auch möglich damit zu gamen ohne das er Probleme macht. Klasse Gerät zum günstigen Preis","Verified Purchase","Reviewed in Germany on 4 February 2022","4.0 out of 5 stars"
"15","Electronics","Lenovo Ideapad 3 Slim Laptop | 14 Inch Full HD WideView Display Anti-Glare | AMD Ryzen 5 5500U | 8GB RAM | 512GB SSD | AMD Radeon Graphics | Windows 11 Home | Grey","Zhifang.Pan","Big value to the money, all are perfert for daily work. But i have not tried the camera and game till now.The battery time is a little bit short, around half day without video.","Verified Purchase","Reviewed in Germany on 8 January 2022","5.0 out of 5 stars"
"16","Electronics","Lenovo Ideapad 3 Slim Laptop | 14 Inch Full HD WideView Display Anti-Glare | AMD Ryzen 5 5500U | 8GB RAM | 512GB SSD | AMD Radeon Graphics | Windows 11 Home | Grey","RJ","The laptop is Light, small, easy to carry and performs great so far. Even prompted to update to upgrade to windows 11 but why do so when windows 10 is just totally fine for my purpose","Verified Purchase","Reviewed in Germany on 27 April 2023","4.0 out of 5 stars"
"17","Electronics","Lenovo Ideapad 3 Slim Laptop | 14 Inch Full HD WideView Display Anti-Glare | AMD Ryzen 5 5500U | 8GB RAM | 512GB SSD | AMD Radeon Graphics | Windows 11 Home | Grey","Bogomil","It's really decent for its prise.I have a idea pad 5 pro and bought this for my gf. She still thinks it's the same as mine.The plastic is cheaper than the 5 pro but it's really hard to tell. You have to know.The prize is really really good. I would only wish it had a usb-c charging port but you can't have everything I guess. Value for money should be the name of the model. Also Wide View displays are now the best you can get. Much more confort, especially if running windows 11.","Verified Purchase","Reviewed in Germany on 10 March 2022","5.0 out of 5 stars"
"18","Electronics","Lenovo Ideapad 3 Slim Laptop | 14 Inch Full HD WideView Display Anti-Glare | AMD Ryzen 5 5500U | 8GB RAM | 512GB SSD | AMD Radeon Graphics | Windows 11 Home | Grey","cookie","Hab mir vor Monaten das Lenovo ThinkPad i7 gekauft und nun das kleine, leichte IdeaPad i3 von Lenovo noch dazu. Für den Preis gibt's nichts zu mäkeln, schöne, schlichte und schnelle Rechner. Das ideaPad i3 für Office und Programmierarbeiten, das ThinkPad i7 für Media Anwendungen und Bildbearbeitung. Macht Spaß mit den Teilen zu Arbeiten. Aufgrund des schönen, schlichten Designs und der für meine Ansprüche guten Leistung von mir, volle Punktzahl.","Verified Purchase","Reviewed in Germany on 12 July 2022","5.0 out of 5 stars"
"19","Electronics","Lenovo Ideapad 3 Slim Laptop | 14 Inch Full HD WideView Display Anti-Glare | AMD Ryzen 5 5500U | 8GB RAM | 512GB SSD | AMD Radeon Graphics | Windows 11 Home | Grey","Stromer","Ohne großen Aufwand erfolgreich in Betrieb nehmen können und Akku läßt längeren Betrie ohne Netzteil zu.","Verified Purchase","Reviewed in Germany on 12 June 2022","5.0 out of 5 stars"
"20","Electronics","Lenovo Ideapad 3 Slim Laptop | 14 Inch Full HD WideView Display Anti-Glare | AMD Ryzen 5 5500U | 8GB RAM | 512GB SSD | AMD Radeon Graphics | Windows 11 Home | Grey","Lu","Laptop kam sehr beansprucht und unzureichend verpackt bei mir an. Zudem fehlte der Netzstecker!Wirklich toll! Für so einen beanspruchten Laptop würde ich nicht einmal 50 € ausgeben. Außer Arbeit mit der Rücksendung hatte ich also nichts davon!Man hat ja sonst nichts zu tun! Nie wieder!","Verified Purchase","Reviewed in Germany on 5 September 2023","4.0 out of 5 stars"
"21","Electronics","Lenovo Ideapad 3 Slim Laptop | 14 Inch Full HD WideView Display Anti-Glare | AMD Ryzen 5 5500U | 8GB RAM | 512GB SSD | AMD Radeon Graphics | Windows 11 Home | Grey","Uwe","Diese Bewertung bezieht sich auf das Lenovo IdeaPad L340-17IWL Bj. 2016 mit Garantie Verlängerung Standardgarantie.Die Scharnierhalterung rechts ist ausgebrochen und das bei extrem pfleglichem Gebrauch nur Zuhause.Der Lenovo Support lehnt den Garantie Antrag ab, da nicht von der Standard Garantie abgedeckt.Also, Lenovo übernimmt keine Garantie für ihre Konstruktionsfehler.PS: die linke Seite wird wohl ewig halten, da hier Metall auf Metall geschraubt wurde und nicht so billige Messinginserts in viel zu dünne Plastikteile verwendet wurden.Ich bin stinksauer !Mein neues Laptop ist ein ASUS Vivibook mit stabilem Scharnier.","Verified Purchase","Reviewed in Germany on 2 May 2023","4.3 out of 5 stars"
