"","category","name","reviewer","reviews","verified","date.of.review","ratings"
"1","Electronics","HP Stream Laptop | 11.6 Inch HD Display | Intel Celeron N4120 | 4GB DDR4 RAM | 64GB eMMC | Intel Graphics | Windows 11 S-Mode | QWERTZ Keyboard | White | Includes Microsoft Office 365 Single","A","Wenn erst einmal die bei einer Windows-Installation obligatorischen Updates durchgelaufen sind (bei mir ca. 3 Std mit mehreren Neustarts), dann läuft der kleine Notebook ganz ordentlich.Ich habe eine Mikro-SD-Karte eingelegt und speichere wegen des kleinen Laufwerks C: die von mir installierten Programme auf dieser Karte. Auch die Thunderbird-Profile liegen dort, die Platte C: würde sonst durch die E-Mails mehrerer Accounts unnötig gefüllt.Ich nutze Firefox, Thunderbird, Teamviewer und LibreOffice. Lediglich das Laden von Libreoffice dauert etwas, ist aber noch akzeptabel. Wahrscheinlich wäre eine schnellere Mikro-SD-Karte hier hilfreich gewesen.Ansonsten habe ich keine Schwächen gefunden. Windows startet normal schnell. Natürlich kann man von einem Celeron und 4 GB RAM keine Wunder erwarten. Rechenintensive oder speicherintensive Programme oder mehrere Programme gleichzeitig sind eine weniger gute Idee, ebenso Spiele.Der Schwerpunkt bei diesem Gerät liegt eben bei Größe, Gewicht und Akkulaufzeit. Es ist ideal, wenn man unterwegs einen kleinen, unauffälligen Notebook dabeihaben möchte.","Verified Purchase","Reviewed in Germany on 22 November 2023","4.1 out of 5 stars"
"2","Electronics","HP Stream Laptop | 11.6 Inch HD Display | Intel Celeron N4120 | 4GB DDR4 RAM | 64GB eMMC | Intel Graphics | Windows 11 S-Mode | QWERTZ Keyboard | White | Includes Microsoft Office 365 Single","James T. Spock","Zum Angebotspreis 199€ ein richtig schöner Rechner. Klein, leicht, handlich, performant.Die Windows 11s Installation habe ich gar nicht erst ausprobiert. Wenn ich schon ins Netzwerk gezwungen werden soll und einen Online Account erstellen soll reicht es mir schon. Ich lasse mich von M$ nicht gängeln und der S Modus ist eh indiskutabel. Office 365 will ich auch nicht: Meine Office Dokumente gehen nur mich etwas an.Mit Linux Mint 21.2 Mate Edition (Kernel 5.15) läuft alles out of the Box und sehr zügig.Das Bios ist etwas ungewöhnlich aufzurufen: Nach Einschalttaste sofort ESC drücken, dann erscheint ein Auswahlmenue. F10 führt dann weiter ins Bios. Die Fxx Tasten direkt drücken (ohne Fn oder ALT etc.) Die Tastaturbeschriftung ist da irreführend. Die Fxx Tastenbeschriftung läßt sich für ältere Semester nur mit Lupe entziffern.Im Bios läßt sich Secure Boot abschalten, sogar der Legacy Modus läßt sich auswählen. Booten von USBgeht problemlos, der Linux Installation steht nichts mehr im Wege.Allein die fehlende Ethernet Schnittstelle schmerzt ewas. Aber dafür gibt es ja für den USB-C Anschluß passende Adapter. Insgesamt hardwaremäßig ein sehr empfehlenswertes kleines Notebook. Schön wäre noch, wenn man es auch ohne Betriebssystem (etwas billiger ;-) ) bekäme.","Verified Purchase","Reviewed in Germany on 3 November 2023","5.0 out of 5 stars"
"3","Electronics","HP Stream Laptop | 11.6 Inch HD Display | Intel Celeron N4120 | 4GB DDR4 RAM | 64GB eMMC | Intel Graphics | Windows 11 S-Mode | QWERTZ Keyboard | White | Includes Microsoft Office 365 Single","Steffen","Meine Jungs nutzen das wirklich kleine Laptop regelmäßig unterwegs im Auto, um halbwegs vernünftig Texte tippen zu können. Man kann auch wunderbar einen Film nebenbei gucken oder im Internet surfen. Das Laptop ist sehr kompakt und definitiv handlich. Das Gehäuse ist ausreichend fest und für den mobilen Einsatz wirklich nicht schlecht. Der Prozessor und der Speicher sind etwas schwach dimensioniert - das weiß man aber vorher. Echte Leistungswunder darf man nicht erwarten - auch die Bildschirmauflösung ist nicht so wahnsinnig hoch. Die normalen Windows-Anwendungen laufen aber hinreichend gut. Der Sound ist super - das Mikrofon ist auch vernünftig - so wie man das bei HP eigentlich immer erwarten kann.Für einen festen Arbeitsplatz wäre es für uns nicht geeignet - für den mobilen Einsatz (Schultasche, zwischen den Autositzen eingeklemmt, für den Urlaub im Hotel ohne Safe, ...) ist es als zusätzliches Gerät anständig und bezahlbar. Im Falle eines Verlustes ist der Schaden begrenzt, falls die Schultasche doch einmal eine unvorhergesehene Flugbewegung vollzieht. Ein Sim-Slot wäre noch praktischer. Gut wäre es auch, wenn sich das Gerät über den USB-Port laden ließe - ein Drama ist es aber nicht - der Akku hält auch ein ganzes Weilchen. Die Ladestecker anderer HP-Netzteile passen - das ist sehr angenehm.Für den richtigen Zweck ist es ein echt brauchbares und bezahlbares Gerät. Sehr leistungsstarke Laptop in dieser Baugröße kosten erheblich mehr.","Verified Purchase","Reviewed in Germany on 20 November 2023","5.0 out of 5 stars"
"4","Electronics","HP Stream Laptop | 11.6 Inch HD Display | Intel Celeron N4120 | 4GB DDR4 RAM | 64GB eMMC | Intel Graphics | Windows 11 S-Mode | QWERTZ Keyboard | White | Includes Microsoft Office 365 Single","Kevin Schulz","Ich halte mich kurz, die Bauqualität ist gut aber die Performance reicht nicht fürs Streaming. Fast jede Anwendung von YouTube schauen bis zu einem Discord Anruf überfordern dieses sonst großartige kleine Laptop.Zur Info, ich nutze das Model mit einem Intel N 4120 / 4GB RAM.","Verified Purchase","Reviewed in Germany on 23 January 2024","4.0 out of 5 stars"
"5","Electronics","HP Stream Laptop | 11.6 Inch HD Display | Intel Celeron N4120 | 4GB DDR4 RAM | 64GB eMMC | Intel Graphics | Windows 11 S-Mode | QWERTZ Keyboard | White | Includes Microsoft Office 365 Single","Klaus","Der Rechner wurde schnell und ordentlich verpackt geschickt. Nach dem Auspacken das große Aha.... Die Verarbeitung ist absolut prima. Der Laptop scheint sehr stabil und die Tastatur ist einwandfrei und keineswegs labberig. Das Einrichten ging dann quasi wie von alleine und ist selbsterklärend. Anschließend wurden die Windows Updates heruntergeladen und installiert. Office 365 war auch als Gimmick mit an Bord, Herz, was willst du noch mehr? Der Bildschirm ist mit einer klaren Anzeige als einwandfrei zu bewerten. Der Rechner ist ausreichend schnell für Office-Anwendungen und zum Surfen im Internet, Streaming funktioniert ebenso einwandfrei. Die Akkuleistung geht auch absolut in Ordnung.Fazit: Ein kleiner schicker Reisebegleiter, der mehr Qualitäten hat, als der Preis vermuten ließe... Wer hierin dann aber den großen Bildbearbeiter sucht, muss in einer ganz anderen Preisklasse suchen, dafür ist das Netbook definitiv nicht gebaut....Die negativen Bewertungen hier kann ich absolut nicht nachvollziehen, wer höhere Ansprüche stellt, muss auch tiefer ins Portemonnaie greifen, ich bin angenehm überrascht und sehr zufrieden.","Verified Purchase","Reviewed in Germany on 23 November 2022","1.0 out of 5 stars"
"6","Electronics","HP Stream Laptop | 11.6 Inch HD Display | Intel Celeron N4120 | 4GB DDR4 RAM | 64GB eMMC | Intel Graphics | Windows 11 S-Mode | QWERTZ Keyboard | White | Includes Microsoft Office 365 Single","Lila Laune Bär","Ich habe mir das Gerät für gekauft um ab und an an ihm zu arbeiten,Streamen von Filmen,Musik über Lautsprecher hören und für sonstige kleinere Aufgaben.Fangen wir mit dem positiven an.Das Notebook schaut wirklich klasse und hochwertig aus.Alles ist sauber verarbeitet und das Material macht einen hochwertigen und robusten Eindruck.Die erste Inbetriebnahme ging recht schnell und das Gerät war schnell einsatzbereit.Die Grafik ist gut .Das Notebook funktioniert erstmal gut bis man zb mehrere Anwendungen offen hat.Webseite offen, email schreiben und nebenbei Musik hören ?Absolut Grenzwertig!Das Notebook wird dann so langsam,dass man sich nebenbei mal schnell noch essen kochen kann,Spaziergang im Wald und wenn man nicht ganz so weit weg will wäre auch noch ein Urlaub drin.Mit viel Glück sind nach dem Urlaub die Anwendungen dann auch mal geöffnet.Nein,das ist natürlich übertrieben, aber das Notebook ist wirklich sehr langsam aufgrund seiner Komponenten.Anwendung für Anwendung ja,mehrere Anwendungen gleichzeitig nur mit Geduld und dann schmiert auch gerne mal was ab.Es kommt jedoch auch einfach auf die Anwendung an.Spiele spielen ?Nein!Mit Windows ist das Niotebook eine absolute Zumutung ,wenn man mehrere Sachen gleichzeitig macht .Die eingebauten Lautsprecher sind natürlich auch nicht das gelbe vom Ei,aber das ist auch bei teureren Geräten das gleiche .Hörgenuss lediglich mit Kopfhörern oder externen Lautsprechern.Das Touchpad reagiert gut und auch die Tastatur ist gut.Sie reagiert prompt und es lässt sich angenehm schreiben.Für die Schule zb ein gutes Produkt ,auch aufgrund der geringen Größe ,auch für E-Mails  die während der Zugfahrt mal schnell noch geschrieben werden wollen oder um mal schnell im Internet was nach zu schauen .Man bekommt hier klein schlechtes Produkt und für den Preis von 199 Euro aktuell kann man nicht mehr erwarten aber man sollte sich genau überlegen was man mit einem Notebbok so alles vor hat aber bd ggfls doch lieber ein teureres Gerät kaufen .","Verified Purchase","Reviewed in Germany on 25 July 2023","5.0 out of 5 stars"
"7","Electronics","HP Stream Laptop | 11.6 Inch HD Display | Intel Celeron N4120 | 4GB DDR4 RAM | 64GB eMMC | Intel Graphics | Windows 11 S-Mode | QWERTZ Keyboard | White | Includes Microsoft Office 365 Single","andy143","Habe das HP Stream 11 mit Intel N4120 in weiß bestellt. Windows 11 war vorinstalliert und nach Beenden des S-Modus konnte auch andere Software installiert werden. Trotz der eher limitierten Hardware ist das Netbook erstaunlich schnell, ich habe beim normalen Arbeiten bislang keinerlei Einschränkungen feststellen können. Programme starten schnell, YouTube-Videos in Full HD laufen problemlos, ebenso Filme auf Amazon Prime Video in der höchsten Auflösung. Zudem ist der Bildschirm schön hell. Das Design des Netbooks ist sowieso ein Hingucker und das geringe Gewicht macht es sehr portabel. Die zusätzliche Beigabe einer 12-Monats Lizenz für Office 365 ist ebenfalls eine tolle Sache, so konnte ich mein bestehendes Abo einfach verlängern.Alles in allem ein schönes kleines Gerät mit einem erstklassigen Preis- / Leistungsverhältnis (in meinem Fall für <200€). Ich bin sehr zufrieden.Tipp: Nach dem erstmaligen Einschalten warten eine Menge Updates von Windows 11 unter Windows Update. Am besten alle Updates per Hand starten und den Läppi zwei Stunden in Ruhe werkeln lassen, danach flitzt er richtig schnell.","Verified Purchase","Reviewed in Germany on 20 October 2022","3.0 out of 5 stars"
"8","Electronics","HP Stream Laptop | 11.6 Inch HD Display | Intel Celeron N4120 | 4GB DDR4 RAM | 64GB eMMC | Intel Graphics | Windows 11 S-Mode | QWERTZ Keyboard | White | Includes Microsoft Office 365 Single","Amazon-Kunde","Ich habe mir das Gerät als Alternative zu einem Tablett gekauft. Es deckt genau das ab was ich möchte. Ein netter Begleiter für unterwegs. Es ist definitiv kein Arbeitslaptop, der alle möglichen Programme verträgt. Das Windows 11 war mehr als lästig und wurde durch Linux ersetzt.","Verified Purchase","Reviewed in Germany on 8 February 2024","5.0 out of 5 stars"
"9","Electronics","HP Stream Laptop | 11.6 Inch HD Display | Intel Celeron N4120 | 4GB DDR4 RAM | 64GB eMMC | Intel Graphics | Windows 11 S-Mode | QWERTZ Keyboard | White | Includes Microsoft Office 365 Single","Amazon Kunde","Mir gefällt der kleine Laptop sehr gut.Er tut was er soll. Ist sehr leicht und überall einfach mitzunehmen. Fast leichter als ein Buch. Ich bin sehr zufrieden","Verified Purchase","Reviewed in Germany on 26 February 2024","5.0 out of 5 stars"
"10","Electronics","HP Stream Laptop | 11.6 Inch HD Display | Intel Celeron N4120 | 4GB DDR4 RAM | 64GB eMMC | Intel Graphics | Windows 11 S-Mode | QWERTZ Keyboard | White | Includes Microsoft Office 365 Single","Oliver","Meine Frau suchte ein Möglichst kleines Gerät, mir dem die üblichen Officeanwendungen laufen und ein bischen Social Media genutzt wird. Sie ist voll zufrieden.","Verified Purchase","Reviewed in Germany on 25 February 2024","4.0 out of 5 stars"
"11","Electronics","HP Stream Laptop | 11.6 Inch HD Display | Intel Celeron N4120 | 4GB DDR4 RAM | 64GB eMMC | Intel Graphics | Windows 11 S-Mode | QWERTZ Keyboard | White | Includes Microsoft Office 365 Single","katarina","Better than I expected considering that it is a refurbished computer.","Verified Purchase","Reviewed in Germany on 29 February 2024","4.1 out of 5 stars"
